Zip Code,City/Township/Community,Municipal,County,State,Utility
18502,Scranton,,Lackawanna,Pennsylvania,UGI
18503,Scranton,,Lackawanna,Pennsylvania,UGI
18504,Scranton,,Lackawanna,Pennsylvania,UGI
18505,Scranton,,Lackawanna,Pennsylvania,UGI
18507,Moosic,,Lackawanna,Pennsylvania,UGI
18508,Scranton,,Lackawanna,Pennsylvania,UGI
18509,Scranton,,Lackawanna,Pennsylvania,UGI
18510,Scranton,,Lackawanna,Pennsylvania,UGI
18512,Scranton,,Lackawanna,Pennsylvania,UGI
18515,Scranton,,Lackawanna,Pennsylvania,UGI
18517,Taylor,,Lackawanna,Pennsylvania,UGI
18518,Old Forge,,Lackawanna,Pennsylvania,UGI
18519,Scranton,,Lackawanna,Pennsylvania,UGI
18540,Scranton,,Lackawanna,Pennsylvania,UGI
18577,Scranton,,Lackawanna,Pennsylvania,UGI
18602,Bear Creek,,Luzerne,Pennsylvania,UGI
18603,Berwick,,Columbia,Pennsylvania,UGI
18610,Blakeslee,,Monroe,Pennsylvania,UGI
18612,Dallas,,Luzerne,Pennsylvania,UGI
18612,Dallas,,Luzerne,Pennsylvania,UGI
18615,Falls,,Wyoming,Pennsylvania,UGI
18617,Glen Lyon,,Luzerne,Pennsylvania,UGI
18618,Harveys Lake,,Luzerne,Pennsylvania,UGI
18621,Hunlock,,Luzerne,Pennsylvania,UGI
18622,Huntington Mills,,Luzerne,Pennsylvania,UGI
18623,Laceyville,,Wyoming,Pennsylvania,UGI
18627,Lehman,,Luzerne,Pennsylvania,UGI
18629,Mehoopany,,Wyoming,Pennsylvania,UGI
18630,Meshoppen,,Wyoming,Pennsylvania,UGI
18631,Mifflinville,,Columbia,Pennsylvania,UGI
18634,Nanticoke,,Luzerne,Pennsylvania,UGI
18635,Nescopeck,,Luzerne,Pennsylvania,UGI
18635,Nescopeck,,Luzerne,Pennsylvania,UGI
18636,Noxen,,Wyoming,Pennsylvania,UGI
18640,Pittston,,Luzerne,Pennsylvania,UGI
18640,Pittston,,Luzerne,Pennsylvania,UGI
18640,Pittston,,Luzerne,Pennsylvania,UGI
18641,Pittston,,Luzerne,Pennsylvania,UGI
18641,Pittston,,Luzerne,Pennsylvania,UGI
18641,Pittston,,Luzerne,Pennsylvania,UGI
18642,Duryea,,Luzerne,Pennsylvania,UGI
18643,Pittston,,Luzerne,Pennsylvania,UGI
18643,Pittston,,Luzerne,Pennsylvania,UGI
18643,Pittston,,Luzerne,Pennsylvania,UGI
18644,Wyoming,,Luzerne,Pennsylvania,UGI
18651,Plymouth,,Luzerne,Pennsylvania,UGI
18651,Plymouth,,Luzerne,Pennsylvania,UGI
18653,Ransom,,Lackawanna,Pennsylvania,UGI
18654,Shawanese,,Luzerne,Pennsylvania,UGI
18655,Shickshinny,,Luzerne,Pennsylvania,UGI
18656,Sweet Valley,,Luzerne,Pennsylvania,UGI
18657,Tunkhannock,,Wyoming,Pennsylvania,UGI
18657,Tunkhannock,,Wyoming,Pennsylvania,UGI
18660,Wapwallopen,,Luzerne,Pennsylvania,UGI
18661,White Haven,,Luzerne,Pennsylvania,UGI
18690,Dallas,,Luzerne,Pennsylvania,UGI
18690,Dallas,,Luzerne,Pennsylvania,UGI
18701,Wilkes-Barre,,Luzerne,Pennsylvania,UGI
18701,Wilkes-Barre,,Luzerne,Pennsylvania,UGI
18702,Wilkes-Barre,,Luzerne,Pennsylvania,UGI
18702,Wilkes-Barre,,Luzerne,Pennsylvania,UGI
18703,Wilkes-Barre,,Luzerne,Pennsylvania,UGI
18703,Wilkes-Barre,,Luzerne,Pennsylvania,UGI
